,title,venue,pages,year,type,access,doi
6977,A Novel Personalized Recommendation Model Based on User's Context.,ICITEE,154:1-154:5,2019,Conference and Workshop Papers,closed,10.1145/3386415.3387101
6978,"Recent Advances in Recommender Systems: Sets, Local Models, Coverage, and Errors.",WWW,1369,2018,Conference and Workshop Papers,closed,10.1145/3184558.3191588
6979,Personalized Federated Learning for Automotive Intrusion Detection Systems.,FNWF,544-549,2022,Conference and Workshop Papers,closed,10.1109/FNWF55208.2022.00101
6980,Paraphrase Concept and Typology. A Linguistically Based and Computationally Oriented Approach.,Proces. del Leng. Natural,83-90,2011,Journal Articles,open,
6981,Diversity and Novelty in Social-Based Collaborative Filtering.,UMAP,139-143,2019,Conference and Workshop Papers,closed,10.1145/3320435.3320479
6982,HIFCF: An effective hybrid model between picture fuzzy clustering and intuitionistic fuzzy recommender systems for medical diagnosis.,Expert Syst. Appl.,3682-3701,2015,Journal Articles,closed,10.1016/J.ESWA.2014.12.042
6983,Scalable Explore-Exploit Collaborative filtering.,PACIS,309,2016,Conference and Workshop Papers,closed,
6984,Towards comprehensive approaches for the rating prediction phase in memory-based collaborative filtering recommender systems.,Inf. Sci.,878-910,2022,Journal Articles,closed,10.1016/J.INS.2021.12.123
6985,Solving demand-responsive feeder transit service design with fuzzy travel demand: A collaborative ant colony algorithm approach.,J. Intell. Fuzzy Syst.,3555-3563,2019,Journal Articles,closed,10.3233/JIFS-179159
6986,Geometric Disentangled Collaborative Filtering.,SIGIR,80-90,2022,Conference and Workshop Papers,closed,10.1145/3477495.3531982
6987,On a serendipity-oriented recommender system based on folksonomy.,Artif. Life Robotics,89-94,2013,Journal Articles,closed,10.1007/S10015-013-0103-3
6988,Towards a green electronic world: a collaborative approach.,ISLPED,1-2,2008,Conference and Workshop Papers,closed,10.1145/1393921.1393922
6989,利用Tri-training算法解决推荐系统冷启动问题 (Utilizing Tri-training Algorithm to Solve Cold Start Problem in Recommender System).,计算机科学,108-114,2016,Journal Articles,open,10.11896/J.ISSN.1002-137X.2016.12.019
6990,Кластеризация профилей пользователей в рекомендательных системах поддержки жизнеобеспечения на основе реальных неявных данных (Clustering of User Profiles Based on Real Implicit Data in E-commerce Recommender Systems).,DAMDID/RCDL,98-103,2016,Conference and Workshop Papers,open,
6991,The Adaptive Ontology-Based Personalized Recommender System.,Wirel. Pers. Commun.,1801-1826,2013,Journal Articles,closed,10.1007/S11277-013-1097-9
6992,Personality-Based User Modeling for Music Recommender Systems.,ECML/PKDD,254-257,2016,Conference and Workshop Papers,closed,10.1007/978-3-319-46131-1_29
6993,Validation of a recommender system for prompting omitted foods in online dietary assessment surveys.,CoRR,,2019,Informal and Other Publications,open,
6994,Exploring Missing Interactions: A Convolutional Generative Adversarial Network for Collaborative Filtering.,CIKM,1773-1782,2020,Conference and Workshop Papers,closed,10.1145/3340531.3411917
6995,Layered Evaluation of Multi-Criteria Collaborative Filtering for Scientific Paper Recommendation.,ICCS,1189-1197,2013,Conference and Workshop Papers,closed,10.1016/J.PROCS.2013.05.285
6996,"AP Computer Science Principles Performance Task: Create - Applications from Ideas, Approaches to Programming Collaboratively. It's a Hackathon Workshop! (Abstract Only).",SIGCSE,720,2016,Conference and Workshop Papers,closed,10.1145/2839509.2844711
6997,Ranking Distillation: Learning Compact Ranking Models With High Performance for Recommender System.,KDD,2289-2298,2018,Conference and Workshop Papers,closed,10.1145/3219819.3220021
6998,On Parallelizing SGD for Pairwise Learning to Rank in Collaborative Filtering Recommender Systems.,RecSys,37-41,2017,Conference and Workshop Papers,closed,10.1145/3109859.3109906
6999,An enhanced users' similarity computation utilising one-class collaborative filtering.,Int. J. Big Data Intell.,250-256,2016,Journal Articles,closed,10.1504/IJBDI.2016.10000801
7000,A novel approach to annotating web service based on interface concept mapping and semantic expansion.,Soft Comput.,929-938,2011,Journal Articles,closed,10.1007/S00500-010-0548-4
7001,A semantic social network-based expert recommender system.,Appl. Intell.,1-13,2013,Journal Articles,closed,10.1007/S10489-012-0389-1
7002,Stochastic search for global neighbors selection in collaborative filtering.,SAC,232-237,2012,Conference and Workshop Papers,closed,10.1145/2245276.2245322
7003,A Personalized Model for Galvanic Coupling in Intrabody Communication Systems.,MobiHealth,130-137,2012,Conference and Workshop Papers,closed,10.1007/978-3-642-37893-5_15
7004,A Tourism Recommender System Based on Collaboration and Text Analysis.,J. Inf. Technol. Tour.,157-165,2003,Journal Articles,closed,10.3727/1098305031436980
7005,Sequential graph collaborative filtering.,Inf. Sci.,244-260,2022,Journal Articles,closed,10.1016/J.INS.2022.01.064
7006,Improving Collaborative Filtering's Rating Prediction Quality by Exploiting the Item Adoption Eagerness Information.,WI,342-347,2019,Conference and Workshop Papers,closed,10.1145/3350546.3352544
7007,A Personalized Affective Memory Model for Improving Emotion Recognition.,ICML,485-494,2019,Conference and Workshop Papers,open,
7008,Hotel Recommendation System based on Review and Context Information: a Collaborative filtering Appro.,PACIS,221,2016,Conference and Workshop Papers,closed,
7009,Bots influence opinion dynamics without direct human-bot interaction: the mediating role of recommender systems.,Appl. Netw. Sci.,46,2022,Journal Articles,open,10.1007/S41109-022-00488-6
7010,Метод определения подобия информационных единиц по неявным пользовательским предпочтениям в рекомендательных системах поддержки жизнеобеспечения (Determination of Similarity of Information Entities Based on Implicit User Preferences in Life-Support Recommender Systems).,DAMDID/RCDL,104-109,2016,Conference and Workshop Papers,open,
7011,A Business Model for Personalized Promotion Systems on Using WLAN Localization and NFC Techniques.,AINA Workshops,1129-1134,2013,Conference and Workshop Papers,closed,10.1109/WAINA.2013.233
7012,The Link between HRM Practices and Organizational Performance Based on System Dynamics Modelling Approach: A Conceptual Framework.,APCoRISE,307-313,2021,Conference and Workshop Papers,closed,10.1145/3468013.3468355
7013,A Two-Stage Approach to Collaborative Fiber Placement through Coordination of Multiple Autonomous Industrial Robots.,J. Intell. Robotic Syst.,915-933,2019,Journal Articles,closed,10.1007/S10846-018-0919-0
7014,The jABC Approach to Rigorous Collaborative Development of SCM Applications.,ISoLA,724-737,2008,Conference and Workshop Papers,closed,10.1007/978-3-540-88479-8_52
7015,Privacy Preserving Collaborative Filtering with k-Anonymity through Microaggregation.,ICEBE,490-497,2013,Conference and Workshop Papers,closed,10.1109/ICEBE.2013.77
7016,Recommendation of research papers in DBpia: A Hybrid approach exploiting content and collaborative data.,SMC,2966-2971,2016,Conference and Workshop Papers,closed,10.1109/SMC.2016.7844691
7017,Manipulation-resistant collaborative filtering systems.,RecSys,165-172,2009,Conference and Workshop Papers,closed,10.1145/1639714.1639742
7018,Latency of Neighborhood Based Recommender Systems.,Fundam. Informaticae,229-248,2015,Journal Articles,closed,10.3233/FI-2015-1233
7019,CitRec 2017: International Workshop on Recommender Systems for Citizens.,RecSys,388-389,2017,Conference and Workshop Papers,closed,10.1145/3109859.3109969
7020,Channel Modeling Approach Based on the Concept of Degradation Level Discrete-Time Markov Chain: UWB System Case Study.,IEEE Trans. Wirel. Commun.,1098-1107,2011,Journal Articles,closed,10.1109/TWC.2011.012411.091590
7021,A stock market portfolio recommender system based on association rule mining.,Appl. Soft Comput.,1055-1063,2013,Journal Articles,closed,10.1016/J.ASOC.2012.09.012
7022,Modified collaborative filtering for hybrid recommender systems and personalized search: The case of digital library.,SMAP,1-6,2022,Conference and Workshop Papers,closed,10.1109/SMAP56125.2022.9942020
7023,Factorizing LambdaMART for cold start recommendations.,Mach. Learn.,223-242,2016,Journal Articles,open,10.1007/S10994-016-5579-3
7024,Credit Card Fraud Detection: Personalized or Aggregated Model.,MUSIC,114-119,2012,Conference and Workshop Papers,closed,10.1109/MUSIC.2012.27
7025,A Hotel Recommender System Based on Multi-Criteria Collaborative Filtering.,Inf. Technol. Control.,390-402,2022,Journal Articles,open,10.5755/J01.ITC.51.2.30701
7026,Absorbing Diagonal Algorithm for Enhancing Randomized SVD Algorithms in Collaborative Filtering✱.,WI,132-139,2019,Conference and Workshop Papers,closed,10.1145/3358695.3360891
7027,Graph Convolutional Neural Networks for Web-Scale Recommender Systems.,KDD,974-983,2018,Conference and Workshop Papers,closed,10.1145/3219819.3219890
7028,Boost-RS: boosted embeddings for recommender systems and its application to enzyme-substrate interaction prediction.,Bioinform.,2832-2838,2022,Journal Articles,open,10.1093/BIOINFORMATICS/BTAC201
7029,Predictability of diffusion-based recommender systems.,CoRR,,2019,Informal and Other Publications,open,
7030,Clustering of Goods and User Profiles for Personalizing in E-commerce Recommender Systems Based on Real Implicit Data.,DAMDID/RCDL,178-191,2016,Conference and Workshop Papers,closed,10.1007/978-3-319-57135-5_13
7031,Towards Understanding Learning Behavior Patterns in Social Adaptive Personalized E-Learning Systems.,AMCIS,,2013,Conference and Workshop Papers,closed,
7032,Investigations into user rating information and predictive accuracy in a collaborative filtering domain.,SAC,937-942,2012,Conference and Workshop Papers,closed,10.1145/2245276.2245458
7033,Large-scale Distributive Matrix Collaborative Filtering for Recommender System.,CNIOT,55-59,2020,Conference and Workshop Papers,closed,10.1145/3398329.3398360
7034,Enhanced SVD for Collaborative Filtering.,PAKDD,503-514,2016,Conference and Workshop Papers,closed,10.1007/978-3-319-31750-2_40
7035,"On Privacy Preserving Collaborative Filtering: Current Trends, Open Problems, and New Issues.",ICEBE,244-249,2013,Conference and Workshop Papers,closed,10.1109/ICEBE.2013.37
7036,An embedding approach for context-aware collaborative recommendation and visualization.,SMC,3457-3462,2016,Conference and Workshop Papers,closed,10.1109/SMC.2016.7844768
7037,HyperBandit: Contextual Bandit with Hypernewtork for Time-Varying User Preferences in Streaming Recommendation.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2308.08497
7038,Recommender systems: a market-based design.,AAMAS,600-607,2003,Conference and Workshop Papers,closed,10.1145/860575.860671
7039,Using user behaviour similarity for recommendation computation: the broadway approach.,HCI,85-89,1999,Conference and Workshop Papers,unavailable,
7040,Personalized Management and Graphical Display of Data: An Extensible System Approach.,Data Bases for Interactive Design,36-44,1975,Conference and Workshop Papers,unavailable,
7041,An implementation of a Distributed Stochastic Gradient Descent for Recommender Systems based on Map-Reduce.,IWCIM,1-5,2015,Conference and Workshop Papers,closed,10.1109/IWCIM.2015.7347074
7042,CPrefMiner: An Algorithm for Mining User Contextual Preferences Based on Bayesian Networks.,ICTAI,114-121,2012,Conference and Workshop Papers,closed,10.1109/ICTAI.2012.24
7043,"Data-Driven ""Market Basket""-Pricing and Personalized Health Information Services Using Salesforce's Model-Driven Systems Service Design.",IEEM,576-580,2019,Conference and Workshop Papers,closed,10.1109/IEEM44572.2019.8978835
7044,A Collaborative Filtering Approach for Drug Repurposing.,ADBIS,381-387,2022,Conference and Workshop Papers,closed,10.1007/978-3-031-15743-1_35
7045,Privacy-Preserving Collaborative Filtering Using Randomized Perturbation Techniques.,ICDM,625-628,2003,Conference and Workshop Papers,closed,10.1109/ICDM.2003.1250993
7046,A comparative study of 2D and 3D mobile keypad user interaction preferences in virtual reality graphic user interfaces.,VRST,42:1-42:2,2017,Conference and Workshop Papers,closed,10.1145/3139131.3141221
7047,Recommender System for Items in Dota 2.,IEEE Trans. Games,396-404,2019,Journal Articles,closed,10.1109/TG.2018.2844121
7048,Efficiency Boosting of Secure Cross-platform Recommender Systems over Sparse Data.,CoRR,,2022,Informal and Other Publications,open,10.48550/ARXIV.2212.01537
7049,Video-based personalized traffic learning.,Graph. Model.,305-317,2013,Journal Articles,closed,10.1016/J.GMOD.2013.07.003
7050,MM-GEF: Multi-modal representation meet collaborative filtering.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2308.07222
7051,An Approach to Concept Learning Based on Term Generalization.,ML,310-315,1992,Conference and Workshop Papers,closed,10.1016/B978-1-55860-247-2.50044-9
7052,Anchor-based Collaborative Filtering.,CIKM,2877-2881,2021,Conference and Workshop Papers,closed,10.1145/3459637.3482056
7053,An approach from statistical mechanics for collaborative business social network reconstruction.,ASONAM,565-568,2015,Conference and Workshop Papers,closed,10.1145/2808797.2809377
7054,"Mental Models, Explanations, Visualizations: Promoting User-Centered Qualities in Recommender Systems.",,,2023,Books and Theses,closed,
7055,Collaborative configuration approaches in software product lines engineering: A systematic mapping study.,J. Syst. Softw.,,2019,Journal Articles,closed,10.1016/J.JSS.2019.110422
7056,An optical computational trust approach to collaborative ventures.,,,2010,Books and Theses,closed,
7057,Bootstrapping User and Item Representations for One-Class Collaborative Filtering.,CoRR,,2021,Informal and Other Publications,open,
7058,A User-Based Cross Domain Collaborative Filtering Algorithm Based on a Linear Decomposition Model.,IEEE Access,27582-27589,2017,Journal Articles,open,10.1109/ACCESS.2017.2774442
7059,Negotiation and Reconciliation of Preferences in a Group Recommender System.,J. Inf. Process.,186-200,2018,Journal Articles,open,10.2197/IPSJJIP.26.186
7060,Cross Domain Collaborative Filtering by Integrating User Latent Vectors of Auxiliary Domains.,KSEM,334-345,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-63558-3_28
7061,Approche collaborative pour la configuration des lignes de produits. (Collaborative approach for the configuration of product lines).,,,2021,Books and Theses,closed,
7062,Criterion-based Heterogeneous Collaborative Filtering for Multi-behavior Implicit Recommendation.,ACM Trans. Knowl. Discov. Data,14:1-14:26,2024,Journal Articles,closed,10.1145/3611310
7063,Ensemble methods for improving the performance of neighborhood-based collaborative filtering.,RecSys,261-264,2009,Conference and Workshop Papers,closed,10.1145/1639714.1639763
7064,Career Goal-based E-Learning Recommendation Using Enhanced Collaborative Filtering and PrefixSpan.,Int. J. Mob. Blended Learn.,23-37,2018,Journal Articles,closed,10.4018/IJMBL.2018070103
7065,Digital Library Recommender System on Hadoop.,NCCA,111-114,2015,Conference and Workshop Papers,closed,10.1109/NCCA.2015.27
7066,Contextual Operation for Recommender Systems.,IEEE Trans. Knowl. Data Eng.,2000-2012,2016,Journal Articles,closed,10.1109/TKDE.2016.2562621
7067,Learning Tree-based Deep Model for Recommender Systems.,KDD,1079-1088,2018,Conference and Workshop Papers,closed,10.1145/3219819.3219826
7068,Personalized recommendation in social tagging systems using hierarchical clustering.,RecSys,259-266,2008,Conference and Workshop Papers,closed,10.1145/1454008.1454048
7069,Rich-context: an unsupervised context-driven recommender system based on user reviews.,,,2019,Books and Theses,closed,
7070,Pattern-based incorporation of privacy preferences into privacy policies: negotiating the conflicting needs of service providers and end-users.,EuroPLoP,5:1-5:12,2019,Conference and Workshop Papers,closed,10.1145/3361149.3361154
7071,Cold-Start Collaborative Filtering.,SIGIR Forum,99-100,2016,Journal Articles,closed,10.1145/2964797.2964819
7072,Improvement of similarity-diversity trade-off in recommender systems based on a facility location model.,IISA,1-7,2019,Conference and Workshop Papers,closed,10.1109/IISA.2019.8900661
7073,Dealing with incomplete information in a fuzzy linguistic recommender system to disseminate information in university digital libraries.,Knowl. Based Syst.,32-39,2010,Journal Articles,closed,10.1016/J.KNOSYS.2009.07.007
7074,A cross-language personalized recommendation model in digital libraries.,Electron. Libr.,264-277,2013,Journal Articles,closed,10.1108/EL-08-2011-0126
7075,Location Representations for Accelerating the Training of Next POI Recommender System.,UbiComp/ISWC Adjunct,133-135,2022,Conference and Workshop Papers,closed,10.1145/3544793.3560370
7076,Using inferred tag ratings to improve user-based collaborative filtering.,SAC,2008-2013,2012,Conference and Workshop Papers,closed,10.1145/2245276.2232110
7077,Psychology-informed Recommender Systems.,Found. Trends Inf. Retr.,134-242,2021,Journal Articles,closed,10.1561/1500000090
7078,Experimental personalized array translator system.,Commun. ACM,433-438,1964,Journal Articles,closed,10.1145/364520.364573
7079,Efficient Contrast Effect Compensation with Personalized Perception Models.,Comput. Graph. Forum,211-220,2015,Journal Articles,closed,10.1111/CGF.12633
7080,Supporting people with autism spectrum disorders in the exploration of PoIs: an inclusive recommender system.,Commun. ACM,101-109,2022,Journal Articles,closed,10.1145/3505267
7081,A Multidimensional Collaborative Filtering Fusion Approach with Dimensionality Reduction.,AusDM,217-221,2014,Conference and Workshop Papers,closed,
7082,QoS-Aware Web Service Recommendation using a New Collaborative Filtering Approach.,Int. J. Next Gener. Comput.,,2018,Journal Articles,closed,
7083,Criterion-based Heterogeneous Collaborative Filtering for Multi-behavior Implicit Recommendation.,CoRR,,2021,Informal and Other Publications,open,
7084,The Role of Document Embedding in Research Paper Recommender Systems: To Breakdown or to Bolster Disciplinary Borders?,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2309.14984
7085,A Flexible Two-Tower Model for Item Cold-Start Recommendation.,IEEE Access,146194-146207,2023,Journal Articles,open,10.1109/ACCESS.2023.3346918
7086,Handling cold start problem in Recommender Systems by using Interaction Based Social Proximity factor.,ICACCI,1987-1993,2015,Conference and Workshop Papers,closed,10.1109/ICACCI.2015.7275909
7087,A semantics-based approach for collaborative aircraft tooling design.,Adv. Eng. Informatics,149-158,2010,Journal Articles,closed,10.1016/J.AEI.2009.07.004
7088,RCFC: A Region-Based POI Recommendation Model with Collaborative Filtering and User Context.,CollaborateCom,656-670,2020,Conference and Workshop Papers,closed,10.1007/978-3-030-67537-0_39
7089,A Multi-Agent Architecture for Dynamic Collaborative Filtering.,ICEIS,363-368,2003,Conference and Workshop Papers,unavailable,
7090,Selecting Skyline Web Services for Multiple Users Preferences.,ICWS,635-636,2012,Conference and Workshop Papers,closed,10.1109/ICWS.2012.108
7091,A Knowledge-Based Recommender Agent to Choosing a Competition System.,PAAMS,143-150,2015,Conference and Workshop Papers,closed,10.1007/978-3-319-19629-9_16
7092,N2VSCDNNR: A Local Recommender System Based on Node2vec and Rich Information Network.,IEEE Trans. Comput. Soc. Syst.,456-466,2019,Journal Articles,closed,10.1109/TCSS.2019.2906181
7093,Personalized Promotion Recommendation Through Consumer Experience Evolution Modeling.,IFSA/NAFIPS,692-703,2019,Conference and Workshop Papers,closed,10.1007/978-3-030-21920-8_61
7094,Evolutionary neural networks for improving the prediction performance of recommender systems.,Turkish J. Electr. Eng. Comput. Sci.,62-77,2021,Journal Articles,open,10.3906/ELK-2004-138
7095,Multi-method Evaluation in Scientific Paper Recommender Systems.,UMAP,179-182,2018,Conference and Workshop Papers,closed,10.1145/3213586.3226215
7096,Is seeing believing?: how recommender system interfaces affect users' opinions.,CHI,585-592,2003,Conference and Workshop Papers,closed,10.1145/642611.642713
7097,Data-driven electricity retailing plan recommender system.,,,2019,Books and Theses,closed,
7098,TDD-BPR: The topic diversity discovering on Bayesian personalized ranking for personalized recommender system.,Neurocomputing,202-213,2021,Journal Articles,closed,10.1016/J.NEUCOM.2021.02.016
7099,A Topology-aware Analysis of Graph Collaborative Filtering.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2308.10778
7100,An Adaptation Model for Personalized E-Assessments.,Int. J. Emerg. Technol. Learn.,5-12,2013,Journal Articles,closed,10.3991/IJET.V8IS2.2734
7101,A Recommender System based on Idiotypic Artificial Immune Networks.,J. Math. Model. Algorithms,181-198,2005,Journal Articles,closed,10.1007/S10852-004-5336-7
7102,Teaching some modern functional programming concepts: an approach based on an extended FP-like language.,ACM SIGCSE Bull.,31-36,1991,Journal Articles,closed,10.1145/122697.122702
7103,Collaborative Computation Offloading in Multi-UAV-MEC Networks: A Reinforcement Learning Approach.,AIPR,1039-1044,2022,Conference and Workshop Papers,closed,10.1145/3573942.3573988
7104,Improving Neighborhood-Based Collaborative Filtering by a Heuristic Approach and an Adjusted Similarity Measure.,BDCA,16-22,2015,Conference and Workshop Papers,open,
7105,A collaborative neurodynamic approach to global and combinatorial optimization.,Neural Networks,15-27,2019,Journal Articles,closed,10.1016/J.NEUNET.2019.02.002
7106,Towards a knowledge-based probabilistic and context-aware social recommender system.,J. Inf. Sci.,464-490,2018,Journal Articles,closed,10.1177/0165551517698787
7107,CausCF: Causal Collaborative Filtering for RecommendationEffect Estimation.,CoRR,,2021,Informal and Other Publications,open,
7108,Neighbor selection for user-based collaborative filtering using covering-based rough sets.,Ann. Oper. Res.,359-374,2017,Journal Articles,open,10.1007/S10479-016-2367-1
7109,PrefRec: Preference-based Recommender Systems for Reinforcing Long-term User Engagement.,CoRR,,2022,Informal and Other Publications,open,10.48550/ARXIV.2212.02779
7110,Human-website interaction monitoring in recommender systems.,KES,1587-1596,2018,Conference and Workshop Papers,closed,10.1016/J.PROCS.2018.08.132
7111,SimpleX: A Simple and Strong Baseline for Collaborative Filtering.,CIKM,1243-1252,2021,Conference and Workshop Papers,closed,10.1145/3459637.3482297
7112,Location-based clustering and collaborative filtering for mobile learning.,Int. J. Netw. Virtual Organisations,34-49,2018,Journal Articles,closed,10.1504/IJNVO.2018.10015033
7113,Personalized Search Based on Context-Centric Model.,J. Networks,1551-1557,2013,Journal Articles,unavailable,10.4304/JNW.8.7.1551-1557
7114,Exploiting user similarity based on rated-item pools for improved user-based collaborative filtering.,RecSys,125-132,2009,Conference and Workshop Papers,closed,10.1145/1639714.1639736
7115,"The Netflix Recommender System: Algorithms, Business Value, and Innovation.",ACM Trans. Manag. Inf. Syst.,13:1-13:19,2016,Journal Articles,closed,10.1145/2843948
7116,Development of rehabilitation training support system of upper limb motor function for personalized rehabilitation.,ROBIO,300-305,2008,Conference and Workshop Papers,closed,10.1109/ROBIO.2009.4913020
7117,Pareto Pairwise Ranking for Fairness Enhancement of Recommender Systems.,CoRR,,2022,Informal and Other Publications,open,10.48550/ARXIV.2212.10459
7118,"Analyzing weighting schemes in collaborative filtering: cold start, post cold start and power users.",SAC,2035-2040,2012,Conference and Workshop Papers,closed,10.1145/2245276.2232114
7119,Automatic Knowledge Acquisition for Critiquing-Based Recommender Systems.,,,2019,Books and Theses,closed,
7120,Fast neighbor user searching for neighborhood-based collaborative filtering with hybrid user similarity measures.,Soft Comput.,5323-5338,2021,Journal Articles,closed,10.1007/S00500-020-05531-1
7121,Designing a User Interest Ontology-Driven Social Recommender System: Application for Tunisian Tourism.,PAAMS,159-166,2015,Conference and Workshop Papers,closed,10.1007/978-3-319-19629-9_18
7122,Cold-Start Recommendation with Provable Guarantees: A Decoupled Approach.,IEEE Trans. Knowl. Data Eng.,1462-1474,2016,Journal Articles,closed,10.1109/TKDE.2016.2522422
7123,Collaborative Filtering Based on Pairwise User-Item Blocking Structure (PBCF): A General Framework and Its Implementation.,KSEM,346-358,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-63558-3_29
7124,Improved trust-aware recommender system using small-worldness of trust networks.,Knowl. Based Syst.,232-238,2010,Journal Articles,closed,10.1016/J.KNOSYS.2009.12.004
7125,Semantic Knowledge Discovery for User Profiling for Location-Based Recommender Systems.,Hum. Centric Intell. Syst.,32,2021,Journal Articles,closed,10.2991/HCIS.K.210704.001
7126,"Preface to the special issue on fair, accountable, and transparent recommender systems.",User Model. User Adapt. Interact.,371-375,2021,Journal Articles,closed,10.1007/S11257-021-09297-5
7127,A new approach to synthesizing free motions of robotic manipulators based on a concept of unit motions.,IROS,1406-1411,1991,Conference and Workshop Papers,closed,10.1109/IROS.1991.174704
7128,A privacy-enhancing model for location-based personalized recommendations.,Distributed Parallel Databases,253-276,2015,Journal Articles,closed,10.1007/S10619-014-7148-8
7129,DCT: A Deep Collaborative Filtering Approach Based on Content-Text Fused for Recommender Systems.,CollaborateCom,392-405,2020,Conference and Workshop Papers,closed,10.1007/978-3-030-67537-0_24
7130,A collaborative filtering approach to assess individual condition risk based on patients' social network data.,BCB,639-640,2014,Conference and Workshop Papers,closed,10.1145/2649387.2660813
7131,SVD-LDA: Topic Modeling for Full-Text Recommender Systems.,MICAI,67-79,2015,Conference and Workshop Papers,closed,10.1007/978-3-319-27101-9_5
7132,"Modeling User Interaction at the Convergence of Filtering Mechanisms, Recommender Algorithms and Advisory Components.",MuC,499-511,2021,Conference and Workshop Papers,closed,10.1145/3473856.3473859
7133,Fuzzy modeling to 'understand' personal preferences of mHealth users: a case study.,EUSFLAT Conf.,,2019,Conference and Workshop Papers,open,10.2991/EUSFLAT-19.2019.77
7134,Online Ranking/Collaborative Filtering Using the Perceptron Algorithm.,ICML,250-257,2003,Conference and Workshop Papers,closed,
7135,A Personalized Affect Response Model for Online News Articles.,LaCATODA/BtG@IJCAI,5-10,2019,Conference and Workshop Papers,open,
7136,An empirical analysis of implicit trust metrics in recommender systems.,ICACCI,636-639,2015,Conference and Workshop Papers,closed,10.1109/ICACCI.2015.7275681
7137,FDRAS: Fashion Design Recommender Agent System Using the Extraction of Representative Sensibility and the Two-Way Combined Filtering on Textile.,DEXA,631-640,2003,Conference and Workshop Papers,closed,10.1007/978-3-540-45227-0_62
7138,A model-driven approach to multidisciplinary collaborative simulation for virtual product development.,Adv. Eng. Informatics,167-179,2010,Journal Articles,closed,10.1016/J.AEI.2009.07.005
7139,Adversarial Collaborative Filtering for Free.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2308.13541
7140,Federated Neural Collaborative Filtering.,CoRR,,2021,Informal and Other Publications,open,
7141,Cold & Warm Net: Addressing Cold-Start Users in Recommender Systems.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2309.15646
7142,A Stacking Recommender System Based on Contextual Information for Fashion Retails.,ICCSA,560-574,2022,Conference and Workshop Papers,closed,10.1007/978-3-031-10522-7_38
7143,Designing a Collaborative Filtering Recommender on the Single Chip Cloud Computer.,SC Companion,838-847,2012,Conference and Workshop Papers,closed,10.1109/SC.COMPANION.2012.118
7144,Are You Reaching Your Audience?: Exploring Item Exposure over Consumer Segments in Recommender Systems.,UMAP,213-217,2018,Conference and Workshop Papers,closed,10.1145/3209219.3209246
7145,Feature Selection for Recommender Systems with Quantum Computing.,Entropy,970,2021,Journal Articles,open,10.3390/E23080970
7146,A neuroscientific approach to choice modeling: Electroencephalogram (EEG) and user preferences.,IJCNN,1-8,2012,Conference and Workshop Papers,closed,10.1109/IJCNN.2012.6252561
7147,A Personalized Recommender System Based on a Hybrid Model.,J. Univers. Comput. Sci.,2224-2240,2013,Journal Articles,open,10.3217/JUCS-019-15-2224
7148,Collision Detection for Industrial Collaborative Robots: A Deep Learning Approach.,IEEE Robotics Autom. Lett.,740-746,2019,Journal Articles,closed,10.1109/LRA.2019.2893400
7149,Feature-combination hybrid recommender systems for automated music playlist continuation.,User Model. User Adapt. Interact.,527-572,2019,Journal Articles,open,10.1007/S11257-018-9215-8
7150,A game theoretic approach for collaborative caching techniques in privacy preserving location-based services.,BigComp,59-62,2015,Conference and Workshop Papers,closed,10.1109/35021BIGCOMP.2015.7072852
7151,Ontology-based Recommender System for the Million Song Dataset Challenge.,KSE,236-241,2018,Conference and Workshop Papers,closed,10.1109/KSE.2018.8573385
7152,A Collaborative Approach to Support Medication Management in Older Adults with Mild Cognitive Impairment Using Conversational Assistants (CAs).,ASSETS,42:1-42:14,2022,Conference and Workshop Papers,closed,10.1145/3517428.3544830
7153,Iterative Use of Weighted Voronoi Diagrams to Improve Scalability in Recommender Systems.,PAKDD,605-617,2015,Conference and Workshop Papers,closed,10.1007/978-3-319-18038-0_47
7154,Collaborative filtering-based recommendations against shilling attacks with particle swarm optimiser and entropy-based mean clustering.,Int. J. Inf. Comput. Secur.,133-144,2023,Journal Articles,closed,10.1504/IJICS.2023.10052969
7155,An Edge Intelligence Empowered Recommender System Enabling Cultural Heritage Applications.,IEEE Trans. Ind. Informatics,4266-4275,2019,Journal Articles,closed,10.1109/TII.2019.2908056
7156,Intent Recognition in Conversational Recommender Systems.,CoRR,,2022,Informal and Other Publications,open,10.48550/ARXIV.2212.03721
7157,Prefetched wald adaptive boost classification based Czekanowski similarity MapReduce for user query processing with bigdata.,Distributed Parallel Databases,855-872,2021,Journal Articles,closed,10.1007/S10619-020-07319-6
7158,Modeling User Email Preferences Using Biterm Topic Model.,APCoRISE,348-352,2021,Conference and Workshop Papers,closed,10.1145/3468013.3468369
7159,Recommender System Using Sequential and Global Preference via Attention Mechanism and Topic Modeling.,CIKM,1543-1552,2019,Conference and Workshop Papers,closed,10.1145/3357384.3358054
